"Data Source: 2016 Dataset (released March 2018)"
" "
"Facility name","TRI ID","Address","City","County","State","Zip Code","Year","Chemical","CAS","Federal (F) or Commercial (C)","Form Type (Form R or A)","Industry","Fugitive Air","Stack Air","Total Air","Surface Water Discharge","Underground Injection","Land Disposal","Total on-site release","Off-site release","Total on- and off-site releases","Transfer to recycling","Transfer to energy recovery","Transfer to treatment","Transfer to POTWs","Other off-site transfer","Total transfers off-site for waste management","Recycled on-site","Recycled off-site","Energy recovery on-site","Energy recovery off-site","Treated on-site","Treated off-site","Quantity released on- and off-site","Total production-related waste managed","Non production-related waste managed"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1998","AMMONIA","'007664417'","C","R","NAICS 2122 - Metal Mining","      4200.0000000","          .0000000","      4200.0000000","          .0000000","          .0000000","          .0000000","      4200.0000000",".","      4200.0000000",".",".","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","      4200.0000000","      4200.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1998","ANTIMONY COMPOUNDS","'N010'","C","R","NAICS 2122 - Metal Mining","         5.0000000","       250.0000000","       255.0000000","       250.0000000","          .0000000","         5.0000000","      1260.0000000","          .0000000","      1260.0000000",".",".",".","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","      1300.0000000","      1300.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1998","ARSENIC COMPOUNDS","'N020'","C","R","NAICS 2122 - Metal Mining","       250.0000000","       250.0000000","       500.0000000","       250.0000000","          .0000000","       250.0000000","    631000.0000000","          .0000000","    631000.0000000",".",".",".","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","    630000.0000000","    630000.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1998","CADMIUM COMPOUNDS","'N078'","C","R","NAICS 2122 - Metal Mining","         5.0000000","          .0000000","         5.0000000","       250.0000000","          .0000000","       750.0000000","      1255.0000000","       250.0000000","      1505.0000000",".",".",".","          .0000000","       250.0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","      1500.0000000","      1500.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1998","CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)","'N090'","C","R","NAICS 2122 - Metal Mining","       250.0000000","       250.0000000","       500.0000000","       250.0000000","          .0000000","     73000.0000000","    263750.0000000","      2950.0000000","    266700.0000000",".",".",".","          .0000000","      2950.0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","    270000.0000000","    270000.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1998","COPPER COMPOUNDS","'N100'","C","R","NAICS 2122 - Metal Mining","      7400.0000000","       750.0000000","      8150.0000000","      2810.0000000","          .0000000","    260000.0000000","  66270960.0000000","          .0000000","  66270960.0000000",".",".",".","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","  66000000.0000000","  66000000.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1998","CRESOL (MIXED ISOMERS)","'001319773'","C","R","NAICS 2122 - Metal Mining","       250.0000000","          .0000000","       250.0000000","       250.0000000","          .0000000","          .0000000","      2600.0000000",".","      2600.0000000",".",".","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","      2600.0000000","      2600.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1998","CYANIDE COMPOUNDS","'N106'","C","R","NAICS 2122 - Metal Mining","      1400.0000000","      1100.0000000","      2500.0000000","      1100.0000000","          .0000000","          .0000000","     53600.0000000",".","     53600.0000000",".",".","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","     54000.0000000","     54000.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1998","HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY)","'007647010'","C","R","NAICS 2122 - Metal Mining","          .0000000","      5300.0000000","      5300.0000000","          .0000000","          .0000000","          .0000000","      5300.0000000",".","      5300.0000000",".",".","          .0000000","          .0000000","          .0000000","          .0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","      5300.0000000","      5300.0000000","          .0000000"
"KENNECOTT UTAH COPPER MINE CONCENTRATORS & POWER PLANT","84006KNNCT12300","8362 WEST 10200 SOUTH","BINGHAM CANYON","SALT LAKE","UT","'84006'","1998","LEAD COMPOUNDS","'N420'","C","R","NAICS 2122 - Metal Mining","       750.0000000","         5.0000000","       755.0000000","       250.0000000","          .0000000","       250.0000000","    211255.0000000","       500.0000000","    211755.0000000",".",".",".","          .0000000","       500.0000000","          .0000000","             .0000000","          .0000000","          .0000000","          .0000000","          .0000000","    210000.0000000","    210000.0000000","        22.0000000"
